building_source_id,building_id,source_key,relationship
CHI-CHI1850-032-S01,CHI-CHI1850-032,ANDREAS_V1,supports_record
CHI-CHI1850-033-S01,CHI-CHI1850-033,CITY_HULL,supports_record
CHI-CHI1850-033-S02,CHI-CHI1850-033,CITY_PREFIRE,supports_record
CHI-CHI1850-034-S01,CHI-CHI1850-034,ANDREAS_V2,supports_record
CHI-CHI1850-035-S01,CHI-CHI1850-035,ANDREAS_V2,supports_record
CHI-CHI1850-036-S01,CHI-CHI1850-036,ANDREAS_V1,supports_record
CHI-CHI1850-037-S01,CHI-CHI1850-037,ANDREAS_V1,supports_record
CHI-CHI1850-038-S01,CHI-CHI1850-038,ANDREAS_V1,supports_record
CHI-CHI1850-038-S02,CHI-CHI1850-038,ANDREAS_V2,supports_record
CHI-CHI1850-039-S01,CHI-CHI1850-039,CITY_GRAY,supports_record
CHI-CHI1850-039-S02,CHI-CHI1850-039,CITY_PREFIRE,supports_record
CHI-CHI1850-040-S01,CHI-CHI1850-040,ANDREAS_V2,supports_record
CHI-CHI1850-041-S01,CHI-CHI1850-041,ANDREAS_V2,supports_record
CHI-CHI1850-042-S01,CHI-CHI1850-042,ANDREAS_V2,supports_record
CHI-CHI1850-043-S01,CHI-CHI1850-043,ANDREAS_V1,supports_record
CHI-CHI1850-044-S01,CHI-CHI1850-044,ANDREAS_V1,supports_record
CHI-CHI1850-045-S01,CHI-CHI1850-045,ANDREAS_V2,supports_record
CHI-CHI1850-046-S01,CHI-CHI1850-046,CITY_IGLEHART,supports_record
CHI-CHI1850-046-S02,CHI-CHI1850-046,CITY_PREFIRE,supports_record
CHI-CHI1850-047-S01,CHI-CHI1850-047,ANDREAS_V1,supports_record
CHI-CHI1850-047-S02,CHI-CHI1850-047,ANDREAS_V2,supports_record
CHI-CHI1850-048-S01,CHI-CHI1850-048,ANDREAS_V1,supports_record
CHI-CHI1850-049-S01,CHI-CHI1850-049,ANDREAS_V1,supports_record
CHI-CHI1850-050-S01,CHI-CHI1850-050,ANDREAS_V1,supports_record
CHI-CHI1850-051-S01,CHI-CHI1850-051,ANDREAS_V1,supports_record
CHI-CHI1850-052-S01,CHI-CHI1850-052,ANDREAS_V2,supports_record
CHI-CHI1850-053-S01,CHI-CHI1850-053,ANDREAS_V2,supports_record
CHI-CHI1850-054-S01,CHI-CHI1850-054,ANDREAS_V2,supports_record
CHI-CHI1850-055-S01,CHI-CHI1850-055,CPD_COUCH,supports_record
CHI-CHI1850-055-S02,CHI-CHI1850-055,CITY_PREFIRE,supports_record
CHI-CHI1850-056-S01,CHI-CHI1850-056,ANDREAS_V2,supports_record
CHI-CHI1850-056-S02,CHI-CHI1850-056,UCHI_OLDU,supports_record
CHI-CHI1850-056-S03,CHI-CHI1850-056,UCHI_PHOTO,supports_record
CHI-CHI1850-057-S01,CHI-CHI1850-057,ANDREAS_V2,supports_record
CHI-CHI1850-058-S01,CHI-CHI1850-058,ANDREAS_V2,supports_record
CHI-CHI1850-059-S01,CHI-CHI1850-059,ANDREAS_V1,supports_record
CHI-CHI1850-059-S02,CHI-CHI1850-059,ANDREAS_V2,supports_record
CHI-CHI1850-060-S01,CHI-CHI1850-060,ANDREAS_V1,supports_record
CHI-CHI1850-061-S01,CHI-CHI1850-061,ANDREAS_V1,supports_record
CHI-CHI1850-062-S01,CHI-CHI1850-062,ANDREAS_V1,supports_record
CHI-CHI1850-063-S01,CHI-CHI1850-063,ANDREAS_V2,supports_record
